STT,Ma so thue,Ten cong ty,Ngay cuoi,Note,,,,,,
879,0315139710,CÔNG TY TNHH THIẾT KẾ XÂY DỰNG ROMA,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
880,0315131655,CÔNG TY TNHH SỬA CHỮA VÀ BÁN BUÔN PHỤ TÙNG Ô TÔ HỒ GIA PHÁT,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
881,0316894963,CÔNG TY TNHH KINH DOANH THIẾT BỊ VĂN PHÒNG PHẨM MẠNH KHÔI,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
882,0316856975,CÔNG TY TNHH VLXD VÀ XÂY DỰNG HỒNG HÀ,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
883,0313662499,CÔNG TY TNHH THƯƠNG MẠI VÀ CHẾ BIẾN GỖ ĐỒNG BẢO,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
884,0316871451,CÔNG TY TNHH TM DV HUY HOÀNG KIM,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
885,0314640145,CÔNG TY TNHH TM DV NHÀ HÀNG GARDEN FOOD,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
886,0314576404,CÔNG TY TNHH TM DV HOÀNG HƯNG THÀNH,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
887,0313955248,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỆT MAY LIÊN PHƯƠNG,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
888,0314643611,CÔNG TY TNHH ĐẦU TƯ SẢN XUẤT VÀ KINH DOANH SẮT THÉP Á CHÂU,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
889,0313277296,CÔNG TY TNHH THƯƠNG MẠI SẢN XUẤT VÀ CHẾ BIẾN NHỰA LINH HƯƠNG,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
890,0315884426,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ NHÀ HÀNG SONG NGƯ,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
891,0313780848,CÔNG TY TNHH THƯƠNG MẠI SẢN XUẤT NHỰA VÀ BAO BÌ MINH PHÁT,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
892,0315642716,CÔNG TY TNHH THƯƠNG MẠI SẢN XUẤT HÓA CHẤT HIỆP PHÁT,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
893,0315723323,CÔNG TY TNHH SAO HANA,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
894,0313311638,0,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
895,0312854871,CÔNG TY TNHH VẬT LIỆU XÂY DỰNG VÀ SAN LẤP SÀI GÒN,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
896,0313201586,CÔNG TY TNHH THƯƠNG MẠI KHAI THÁC VÀ CHẾ BIẾN GỖ PHÁT LỢI,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
897,0307241566,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ VẬN TẢI HƯNG LỘC,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
898,0312763790,0,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
899,0312893126,CÔNG TY TNHH THƯƠNG MẠI VÀ SẢN XUẤT GỖ XUÂN THẾ,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
900,0315336998,CÔNG TY TNHH THIẾT BỊ PCCC VÀ BẢO HỘ LAO ĐỘNG NGỌC QUỲNH,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
901,0313925571,CÔNG TY TNHH THƯƠNG MẠI - DỊCH VỤ - SẢN XUẤT - XÂY DỰNG LÊ VŨ,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
902,0314701278,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ IN ẤN BAO BÌ HỨA LÊ,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
903,0314914653,CÔNG TY TNHH DVTM QUỐC TRUNG,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
904,0315048608,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VẬN TẢI VĂN THIẾT,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
905,0309306219,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ GỖ LÊ PHÚC,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
906,0315209100,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VẬN TẢI NAM ĐỒNG TIẾN,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
907,0317036887,0,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
908,0317031180,0,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
909,0317121074,0,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
910,0317118233,CÔNG TY TNHH NHÀ HÀNG ĂN UỐNG ĐỆ NHẤT BBQ,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
911,0316373008,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ ĐẦU TƯ THÀNH PHÚC,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
912,0313005937,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ TRẦN TUẤN KIỆT,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
913,0316361179,CÔNG TY TNHH ĐẦU TƯ XÂY DỰNG THƯƠNG MẠI DỊCH VỤ TANA,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
914,0313916489,CÔNG TY TNHH TMDV VẬN TẢI ĐẤT XANH,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
915,0313614801,CÔNG TY TNHH ĐẦU TƯ XÂY DỰNG VÀ KHAI THÁC KHOÁNG SẢN LÊ NGUYỄN,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
916,3603643768,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ KIM SƠN HÙNG,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
917,0314171736,CÔNG TY TNHH KINH DOANH VẬN TẢI THANH TÍN,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
918,0313396582,CÔNG TY TNHH KINH DOANH VẬN TẢI HOÀNG BÁCH,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
919,0312134898,CÔNG TY TNHH KINH DOANH GỖ VÀ TRANG TRÍ NỘI NGOẠI THẤT THÁI ĐIỀN,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
920,0315646735,CÔNG TY TNHH ĐẦU TƯ XÂY DỰNG VÀ BẤT ĐỘNG SẢN QUỐC HƯNG,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
921,0315917199,CÔNG TY TNHH DƯỢC PHẨM VÀ VẬT TƯ Y TẾ NHƯ AN,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
922,0316866148,CÔNG TY TNHH XÂY DỰNG VẬN TẢI VĂN VŨ,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
923,0316945142,CÔNG TY TNHH VẬN TẢI ĐƯỜNG BỘ NGỌC HOÀI,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
924,0316944879,CÔNG TY TNHH VẬN TẢI VÀ NHIÊN LIỆU THANH TUYỀN,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
925,0316944660,CÔNG TY TNHH DỊCH VỤ VẬN TẢI PHƯƠNG BẢO AN,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
926,0316944117,CÔNG TY TNHH TMDV VẬN TẢI THANH TRÚC,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
927,0316943811,CÔNG TY TNHH XNK VÀ KINH DOANH SẮT THÉP XUYÊN Á,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
928,0315406927,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ XÂY DỰNG THỐNG NHẤT,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
929,0315976444,CÔNG TY TNHH ĐẦU TƯ PHÁT TRIỂN VÀ KINH DOANH VLXD VINH PHÁT VN,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
930,0315163079,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VẬN TẢI PHẠM MINH,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
931,0315219902,CÔNG TY TNHH SẢN XUẤT IN ẤN BAO BÌ VÀ KINH DOANH HÓA CHẤT ĐỒNG TIẾN,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
932,0315564514,CÔNG TY TNHH THƯƠNG MẠI VÀ THU GOM PHẾ LIỆU NGỌC HẠNH,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
933,0312987335,CÔNG TY TNHH THIẾT KẾ XÂY DỰNG TRẦN KIỀU,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
934,0313570664,CÔNG TY TNHH THƯƠNG MẠI ĐẦU TƯ Ý TƯỞNG,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
935,0311285975,CÔNG TY TNHH ĐẦU TƯ THIẾT KẾ XÂY DỰNG ĐỊA ỐC ĐẠT HƯNG THỊNH,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
936,0314950531,CÔNG TY TNHH TM DV VÀ CƠ KHÍ MÁY MÓC PHƯƠNG NHẬT,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
937,0315240326,CÔNG TY TNHH SẢN XUẤT VÀ CHẾ BIẾN HẠT ĐIỀU DIỆP THANH,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
938,0315911510,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VẬN TẢI NHIÊN LIỆU TRÍ TÀI,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
939,0315457022,CÔNG TY TNHH XNK VÀ KINH DOANH XĂNG DẦU TIMEXCO,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
940,0315739972,CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI VÀ DỊCH VỤ BẤT ĐỘNG SẢN TP,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
941,0315556827,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ NHÀ HÀNG ẨM THỰC DÌN KÝ,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
942,0313096370,CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI DỊCH VỤ TRỌNG HOÀNG,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
943,0311668093,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ BÁCH TÙNG GIA,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
944,0316062210,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ MAY MẶC MAI VÀNG,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
945,0313246650,CÔNG TY TNHH DỊCH VỤ TRUYỀN THÔNG QUẢNG CÁO HÒA LẠC,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
946,0315963741,CÔNG TY TNHH THƯƠNG MẠI SẢN XUẤT VÀ CHẾ BIẾN GỖ VIỆT PHÁP,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
947,0315783040,CÔNG TY TRÁCH NHIỆM HỮU HẠN SỰ KIỆN LỬNG MẬT SÀI GÒN,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
948,0106809707,CÔNG TY TNHH THƯƠNG MẠI XNK VÀ KINH DOANH NHIÊN LIỆU SFC,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
949,0314641639,CÔNG TY TNHH XNK VÀ KINH DOANH XĂNG DẦU PEC OIL,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
950,0314628959,CÔNG TY TNHH ĐẦU TƯ XÂY DỰNG VÀ VẬN TẢI TRUNG THÀNH SG,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
951,0314997113,CÔNG TY TNHH XÂY DỰNG VẬN TẢI HẢI QUÂN,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
952,0314794642,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ NGỌC PHƯƠNG TRANG,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
953,0314983417,CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI VÀ DỊCH VỤ PHƯƠNG Ý,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
954,0315969694,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ DỆT MAY BÔNG SEN VÀNG,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
955,0312181591,CÔNG TY TNHH THƯƠNG MẠI SẢN XUẤT THIẾT BỊ ĐIỆN THÀNH ĐẠT,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
956,0314986295,CÔNG TY TNHH THƯƠNG MẠI SẢN XUẤT VÀ CHẾ BIẾN GỖ VIỆT TRUNG,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
957,0313250262,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ QUẢNG CÁO TRUYỀN THÔNG THẾ VINH,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
958,0313688578,CÔNG TY TNHH VLXD VÀ THIẾT KẾ THI CÔNG QUANG VINH,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
959,0315851452,CÔNG TY TNHH QUẢNG CÁO TRUYỀN THÔNG VÀ VĂN PHÒNG PHẨM QUANG HƯNG,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
960,0312051137,CÔNG TY CỔ PHẦN TƯ VẤN THIẾT KẾ VÀ XÂY DỰNG AN PHONG,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
961,0314672122,CÔNG TY TNHH XÂY DỰNG CƠ SỞ HẠ TẦNG VĂN GIẢNG,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
962,0315187859,CÔNG TY TNHH VẬT LIỆU VÀ XÂY DỰNG HÙNG HOÀNG,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
963,0315973838,CÔNG TY TNHH CUNG ỨNG LAO ĐỘNG THÀNH LUÂN,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
964,0315182113,CÔNG TY TNHH XNK VÀ KINH DOANH SẮT THÉP POMINA,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
965,0315108617,CÔNG TY TNHH TM DV CƠ KHÍ VÀ THIẾT BỊ MÁY MÓC BÙI QUANG,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
966,0314366164,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ KINH DOANH PHỤ LIỆU MAY MẶC PHÙNG TRANG,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
967,0315180469,CÔNG TY TNHH XNK THƯƠNG MẠI DỊCH VỤ SẢN XUẤT MAY MẶC ANH THƯ,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
968,0315144291,CÔNG TY TNHH THƯƠNG MẠI SẢN XUẤT VÀ KINH DOANH NHỰA THANH LỘC,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
969,0313386545,CÔNG TY TNHH QUẢNG CÁO TRUYỀN THÔNG LONG DUYÊN,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
970,0313198277,CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ VẬN TẢI QUỐC TẾ SG,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
971,0315558422,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ THIẾT BỊ VĂN PHÒNG PHẨM THỦY NGỌC,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
972,0313827422,CÔNG TY TNHH SẢN XUẤT THIẾT BỊ ĐIỆN LƯỚI NGỌC ĐĂNG KHOA,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
973,0313580486,CÔNG TY TNHH TM DV VẬN TẢI AN BÌNH,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
974,0314499541,CÔNG TY TNHH TM TRUYỀN THÔNG QUẢNG CÁO ĐẠI DƯƠNG XANH,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
975,0313936799,CÔNG TY TNHH XNK DV KINH DOANH NHIÊN LIỆU SINOPEC,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
976,0315681049,CÔNG TY TNHH XNK CHẾ BIẾN LƯƠNG THỰC VÀ THỰC PHẨM GIA PHÚ,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
977,0315834418,CÔNG TY TNHH XD DV THIẾT KẾ VÀ CÂY CẢNH NOVA,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
978,0312801527,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VÀ ĐẦU TƯ XÂY DỰNG MINH LONG,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
979,0314661787,CÔNG TY TNHH ĐẦU TƯ PHÁT TRIỂN THÀNH SƠN THỦY,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
980,0315267215,CÔNG TY TNHH TƯ VẤN XÂY DỰNG CÔNG TRÌNH TIÊN PHONG,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
981,0316860322,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ XÂY DỰNG NGÔ NGHĨA,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
982,0314744313,CÔNG TY TNHH SẢN XUẤT VÀ KINH DOANH SẮT THÉP HOA SEN,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
983,0316864091,CÔNG TY TNHH PHỤ TÙNG MÁY MÓC CƠ KHÍ LÊ HUY,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
984,0316851783,CÔNG TY TNHH ĐẦU TƯ XÂY DỰNG CƠ SỞ HẠ TẦNG ALIFIN,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
985,0316864359,CÔNG TY TNHH TM DV SẢN XUẤT GỖ HOÀNG PHÚC,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
986,0316859951,CÔNG TY TNHH TM DV SẢN XUẤT GIẤY PHƯỢNG HOÀNG,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
987,0316867381,CÔNG TY TNHH ĐẦU TƯ XÂY DỰNG VÀ KINH DOANH CÂY CẢNH TƯỜNG VI,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
988,0316867712,CÔNG TY TNHH QUẢNG CÁO VÀ TRUYỀN THÔNG AP MEDIA,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
989,0316855467,CÔNG TY TNHH VLXD VÀ SAN LẤP HOÀI THANH,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
990,0316873272,CÔNG TY TNHH VẬN TẢI VÀ KINH DOANH NHIÊN LIỆU SÀI GÒN MOBIL,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
991,0316871187,CÔNG TY TNHH CHẾ BIẾN LƯƠNG THỰC THỰC PHẨM THẢO NGUYÊN,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
992,0316875985,CÔNG TY TNHH TM DV VẬN TẢI BẮC TRUNG NAM,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
993,0316856090,CÔNG TY TNHH THIẾT KẾ ĐẦU TƯ XÂY DỰNG AN BẢO KHANG,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
994,0316855435,CÔNG TY TNHH KHÁCH SẠN NHÀ HÀNG HƯƠNG LÚA,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
995,0316857094,CÔNG TY TNHH TM DV SẢN XUẤT HÓA CHẤT CÔNG NGHIỆP VIỆT MỸ,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
996,0316851896,CÔNG TY TNHH NHÀ HÀNG ẨM THỰC NAM BỘ,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
997,0316895413,CÔNG TY TNHH TM DV HÙNG THANH PHƯƠNG,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
998,0316872511,0,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
999,0316872864,CÔNG TY TNHH ĐẦU TƯ SẢN XUẤT THƯƠNG MẠI KIM SAN,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
1000,0316867286,CÔNG TY TNHH BÁN BUÔN PHỤ TÙNG VÀ SỬA CHỮA Ô TÔ TRỌNG SANG,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
1001,0316869741,CÔNG TY TNHH QUẢNG CÁO TRUYỀN THÔNG MOBA VIỆT,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
1002,0316898421,CÔNG TY TNHH TM DV VẬN TẢI DANKO,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
1003,0316875431,CÔNG TY TNHH XNK VÀ KINH DOANH NHIÊN LIỆU PACIFIC,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
